t,x,y,z,vx,vy,vz,mu,mu_avg,Bmag
19.60000000,4.76460578,0.74846064,0.69932388,0.59070501,0.93915119,-0.13806748,0.0599545881,0.0562084080,8.90227218
19.80000000,4.73096765,0.92205802,0.60487379,-0.75033092,0.34767481,-0.75241326,0.0582549173,0.0564935063,8.92393166
20.00000000,4.63034625,0.83101609,0.45913821,0.15920496,-0.95812044,-0.55376799,0.0506224655,0.0563637239,9.60268915
20.20000000,4.79269756,0.73782003,0.38903677,1.04081098,0.31749391,-0.25672965,0.0567589443,0.0559843421,8.76896409
20.40000000,4.88420157,0.90419658,0.31552429,-0.28837440,0.94808617,-0.51766089,0.0620414565,0.0566929790,8.15917459
20.60000000,4.73639021,0.97079783,0.19223205,-0.79183405,-0.44561110,-0.65148259,0.0539093234,0.0564487233,8.84801610
20.80000000,4.71918327,0.80878211,0.07295618,0.70118950,-0.68151932,-0.54209288,0.0509060256,0.0564272673,9.11047559
21.00000000,4.89178647,0.82646527,-0.03311469,0.57534709,0.80159057,-0.52576446,0.0603348778,0.0563493551,8.18961029
21.20000000,4.85759539,1.00271484,-0.13226842,-0.85186944,0.56572619,-0.45196495,0.0605195100,0.0565033064,8.19506608
21.40000000,4.67894453,0.96150370,-0.21953035,-0.48862646,-0.88848248,-0.47100218,0.0512293338,0.0567508205,9.17500041
21.60000000,4.73914180,0.81169791,-0.33938455,0.84482341,-0.15819462,-0.71501598,0.0538280335,0.0564644424,8.99567640
21.80000000,4.84230679,0.92538798,-0.47155528,-0.13321165,0.98850390,-0.50508879,0.0616984149,0.0565194222,8.34391911
22.00000000,4.68699862,1.04163689,-0.52850532,-1.10019296,-0.14763917,-0.13333462,0.0564061423,0.0560781283,9.03079588
22.20000000,4.57832909,0.88622391,-0.58453735,0.27137589,-0.92671821,-0.56351439,0.0511124928,0.0568380783,9.85395677
22.40000000,4.70146875,0.85869776,-0.73587200,0.43954186,0.71584449,-0.73781407,0.0587317580,0.0563798720,9.14627063
22.60000000,4.63647675,1.03103946,-0.80904409,-1.00503339,0.48894471,0.02899894,0.0588857823,0.0560047263,9.31092812
22.80000000,4.46223760,0.94855323,-0.79593080,-0.24216870,-1.07419574,-0.19354025,0.0521329057,0.0565860368,10.50642971
23.00000000,4.55115408,0.83962425,-0.92345960,0.62728403,0.38229074,-0.84283363,0.0567129699,0.0563020620,10.04640435
23.20000000,4.53503607,1.01132059,-1.00829377,-0.84261624,0.72390763,0.12631550,0.0589467498,0.0560485191,9.91168355
23.40000000,4.36432001,0.96166430,-0.94991452,-0.29823726,-1.07665294,0.04327771,0.0529377032,0.0563405884,11.14438477
23.60000000,4.45230710,0.84310755,-1.05756039,0.64969490,0.39144904,-0.82137943,0.0565957569,0.0561894933,10.66664557
23.80000000,4.43567235,1.01866345,-1.11857388,-0.83112720,0.66133954,0.34908104,0.0582687721,0.0560359845,10.51211981
24.00000000,4.29709582,0.94276771,-1.03048600,0.00515759,-1.11746418,0.03531575,0.0530292209,0.0562476666,11.65571379
24.20000000,4.41664663,0.86652099,-1.13897866,0.56168897,0.69264867,-0.67434658,0.0574039686,0.0561106220,10.85735165
24.40000000,4.37042952,1.04428473,-1.14181906,-0.85161005,0.34372211,0.63766403,0.0572825727,0.0560285671,10.90931441
24.60000000,4.28989289,0.91709637,-1.04768587,0.45669283,-1.01096336,-0.13922907,0.0531299253,0.0561653169,11.74880052
24.80000000,4.43643981,0.91521695,-1.15149085,0.37135079,0.98566475,-0.37491811,0.0583247769,0.0561217768,10.64829871
