t,x,y,z,vx,vy,vz,mu,mu_avg,Bmag
19.40000000,4.57082202,0.71453199,0.70324871,0.84857186,-0.71458188,-0.13891919,0.0524063163,0.0560263635,10.08424151
19.60000000,4.76460580,0.74846065,0.69932384,0.59070496,0.93915122,-0.13806753,0.0599545890,0.0562065054,8.90227206
19.80000000,4.73096766,0.92205803,0.60487374,-0.75033095,0.34767477,-0.75241326,0.0582549178,0.0564941683,8.92393160
20.00000000,4.63034626,0.83101610,0.45913817,0.15920498,-0.95812045,-0.55376799,0.0506224659,0.0563644526,9.60268908
20.20000000,4.79269758,0.73782004,0.38903672,1.04081097,0.31749393,-0.25672969,0.0567589450,0.0559826603,8.76896402
20.40000000,4.88420158,0.90419659,0.31552424,-0.28837442,0.94808617,-0.51766090,0.0620414572,0.0566920958,8.15917453
20.60000000,4.73639021,0.97079784,0.19223200,-0.79183408,-0.44561111,-0.65148257,0.0539093239,0.0564487208,8.84801606
20.80000000,4.71918327,0.80878211,0.07295613,0.70118949,-0.68151933,-0.54209290,0.0509060260,0.0564284828,9.11047558
21.00000000,4.89178646,0.82646528,-0.03311474,0.57534708,0.80159057,-0.52576448,0.0603348783,0.0563454239,8.18961029
21.20000000,4.85759538,1.00271485,-0.13226847,-0.85186946,0.56572619,-0.45196492,0.0605195106,0.0565103771,8.19506610
21.40000000,4.67894452,0.96150370,-0.21953040,-0.48862647,-0.88848250,-0.47100215,0.0512293343,0.0567400949,9.17500045
21.60000000,4.73914179,0.81169791,-0.33938460,0.84482340,-0.15819461,-0.71501600,0.0538280341,0.0564656328,8.99567645
21.80000000,4.84230678,0.92538799,-0.47155533,-0.13321169,0.98850390,-0.50508878,0.0616984154,0.0565124477,8.34391918
22.00000000,4.68699860,1.04163690,-0.52850536,-1.10019296,-0.14763923,-0.13333458,0.0564061426,0.0560774830,9.03079599
22.20000000,4.57832907,0.88622390,-0.58453739,0.27137595,-0.92671819,-0.56351441,0.0511124936,0.0568388621,9.85395686
22.40000000,4.70146873,0.85869777,-0.73587205,0.43954179,0.71584456,-0.73781406,0.0587317589,0.0563849598,9.14627070
22.60000000,4.63647672,1.03103947,-0.80904412,-1.00503344,0.48894462,0.02899901,0.0588857824,0.0560106668,9.31092828
22.80000000,4.46223758,0.94855322,-0.79593083,-0.24216855,-1.07419577,-0.19354030,0.0521329062,0.0565852152,10.50642986
23.00000000,4.55115408,0.83962426,-0.92345963,0.62728397,0.38229090,-0.84283361,0.0567129712,0.0563005628,10.04640437
23.20000000,4.53503604,1.01132061,-1.00829379,-0.84261634,0.72390750,0.12631562,0.0589467500,0.0560492360,9.91168371
23.40000000,4.36431999,0.96166428,-0.94991453,-0.29823705,-1.07665301,0.04327760,0.0529377036,0.0563396913,11.14438493
23.60000000,4.45230710,0.84310756,-1.05756042,0.64969481,0.39144929,-0.82137939,0.0565957584,0.0561883045,10.66664551
23.80000000,4.43567232,1.01866347,-1.11857388,-0.83112730,0.66133934,0.34908120,0.0582687722,0.0560365138,10.51211996
24.00000000,4.29709582,0.94276769,-1.03048600,0.00515787,-1.11746419,0.03531558,0.0530292214,0.0562539628,11.65571387
24.20000000,4.41664665,0.86652101,-1.13897868,0.56168882,0.69264891,-0.67434646,0.0574039701,0.0561127056,10.85735152
24.40000000,4.37042950,1.04428474,-1.14181904,-0.85161009,0.34372182,0.63766415,0.0572825727,0.0560288866,10.90931454
